date,store_id,prescription_id,prescription_flag,product_id,product_category,manufacturer,units_sold,price,discount_percent,promotion_flag,expiry_date,inventory_level,safety_stock,reorder_point,order_quantity,lead_time_days,stock_out_flag,holiday_flag,special_event_flag,delivery_time_hours,delivery_delay_flag,competitor_price_index,customer_segment_id,day_of_week,month_of_year
2025-10-05,store_5,b289d4ef-2925-4f43-89c5-c57aa3a0fd47,0,prod_17,OTC,Novartis,4,45.96,10,1,2026-02-25,11,22,29,56,5,0,1,0,25.0,0,0.99,retail,6,10
2025-02-05,store_4,6ecd4fc4-0dbb-4eca-befb-d1856c4f4626,0,prod_2,OTC,Pfizer,8,33.72,10,1,2025-11-27,11,14,21,78,10,0,0,0,37.91,0,0.9,retail,2,2
2025-02-02,store_4,0b64757a-a3be-4a20-b620-fb159a9abc0a,0,prod_20,OTC,Sun Pharma,6,34.09,10,1,2025-12-11,20,24,33,91,4,0,1,0,27.34,0,0.97,wholesale,6,2
2025-08-01,store_4,17fb336f-46e2-4469-8649-341e220f5f38,0,prod_2,OTC,Pfizer,5,73.7,10,1,2026-03-25,8,10,23,42,7,0,0,0,14.18,0,1.1,retail,4,8
2025-11-15,store_3,d379f6d2-0e69-45f5-8be3-78fae2e68465,0,prod_1,Supplement,Sun Pharma,9,77.73,20,1,2026-05-20,5,28,41,88,13,1,1,0,25.67,0,0.81,retail,5,11
2025-09-06,store_1,c1040052-7dc2-429c-9b12-071818b97d8a,0,prod_18,Prescription,Pfizer,6,99.03,0,0,2026-07-01,2,15,28,41,10,1,1,0,27.24,0,1.0,wholesale,5,9
2025-09-06,store_4,ec81ef67-f32f-447a-8089-3de0c6c40a04,1,prod_15,Prescription,Pfizer,7,5.78,30,1,2025-10-26,13,19,32,34,4,0,1,1,26.18,0,0.85,retail,5,9
2025-09-08,store_5,c59c6e4c-753b-46fb-b480-16a51c65acb2,0,prod_2,OTC,Pfizer,7,87.57,50,1,2026-08-28,1,10,28,30,9,1,0,0,21.47,0,0.86,retail,0,9
2025-05-20,store_4,a87cbdfb-3d9f-4fd7-b1cb-c8cc224c4e09,1,prod_4,OTC,Novartis,5,13.58,30,1,2026-04-09,22,10,29,90,9,0,0,0,31.33,0,0.81,wholesale,1,5
2025-12-25,store_3,56296d3a-791a-4757-a618-8ea6e3c19cb6,0,prod_17,OTC,Sun Pharma,6,59.73,0,0,2026-11-05,8,17,35,45,7,0,0,0,24.68,0,1.15,wholesale,3,12
2025-04-17,store_5,287e7150-14bd-473b-9981-9c4e6873d671,0,prod_4,Prescription,Pfizer,8,44.15,20,1,2026-04-11,3,12,26,39,5,1,0,0,27.13,0,0.87,wholesale,3,4
2025-11-06,store_4,0f88a2f0-01fd-463e-a44a-e2823deeb3b5,0,prod_6,OTC,Pfizer,5,69.38,20,1,2026-09-08,4,18,36,76,1,1,0,0,25.3,0,0.98,retail,3,11
2025-03-06,store_1,2ab79418-6048-4aaf-9043-db824be7372e,0,prod_2,Prescription,Sun Pharma,13,34.42,50,1,2025-05-03,10,23,39,48,3,1,0,0,25.88,0,1.11,wholesale,3,3
2025-11-19,store_1,a45ace8a-bf32-446a-b803-782e57c5b316,0,prod_1,Supplement,Sun Pharma,5,83.1,30,1,2026-01-17,22,27,32,98,2,0,0,0,24.23,0,0.93,wholesale,2,11
2025-08-17,store_4,34f038d4-0883-4958-95de-716b33565c16,0,prod_16,OTC,Pfizer,3,20.55,30,1,2026-01-15,11,10,28,66,6,0,1,0,30.19,0,1.08,retail,6,8
2025-08-17,store_3,10576b66-257a-4240-8199-260c33e48a1e,0,prod_1,Supplement,Pfizer,6,95.04,10,1,2025-10-14,6,21,29,80,4,0,1,0,25.63,0,1.1,wholesale,6,8
2025-10-01,store_1,19581a75-5c8c-4a7e-852e-4c05f1e2bba8,0,prod_4,Prescription,Sun Pharma,4,47.19,20,1,2025-12-24,15,16,35,36,8,0,0,0,32.38,0,0.87,wholesale,2,10
2025-05-13,store_5,cf80b824-54d1-44c0-bd3d-884a6bf7098f,1,prod_18,Supplement,Pfizer,6,56.15,30,1,2025-11-26,25,12,23,91,12,0,0,0,25.14,0,1.07,retail,1,5
2025-08-06,store_2,1a07a930-77fd-4293-b7fd-4026d542da06,0,prod_16,OTC,Pfizer,5,13.72,50,1,2026-01-30,24,29,39,39,7,0,0,0,22.62,0,0.83,retail,2,8
2025-01-18,store_2,44432b3f-cdbe-4c4a-8a38-b3675fa70391,0,prod_9,Prescription,Sun Pharma,9,13.72,50,1,2025-10-06,14,12,31,53,10,0,1,0,15.12,0,0.88,wholesale,5,1
2025-10-27,store_2,1aed63b6-1e15-4abe-a900-c3b0254bdb3f,0,prod_9,Supplement,Pfizer,5,77.72,30,1,2026-07-05,21,25,37,61,9,0,0,0,21.49,0,1.14,wholesale,0,10
2025-01-10,store_5,7ff05d4d-cbfb-4a8e-b8a6-337c09750e07,0,prod_4,OTC,Novartis,8,35.48,0,0,2025-11-18,23,29,44,99,3,0,0,1,25.06,0,0.8,wholesale,4,1
2025-12-28,store_1,756c5789-2978-4c21-addb-5b0c1b19ef17,0,prod_9,OTC,Sun Pharma,8,31.41,50,1,2026-09-30,8,27,40,50,3,0,1,0,18.52,0,1.05,retail,6,12
2025-03-14,store_5,ba70d657-8a14-4005-b339-03269e878869,0,prod_2,Prescription,Sun Pharma,7,25.02,0,0,2026-01-29,10,11,25,73,9,0,0,0,18.01,0,0.85,wholesale,4,3
2025-05-23,store_2,f547b445-6337-41ba-9ceb-c3147c72da32,0,prod_5,Supplement,Novartis,2,30.07,50,1,2026-03-16,21,22,33,84,5,0,0,0,26.79,0,0.92,wholesale,4,5
2025-06-05,store_1,d3eff5e3-836b-4e6d-af03-ef28d2effdf8,0,prod_10,Supplement,Novartis,6,77.21,50,1,2026-05-20,12,27,44,73,1,0,0,0,26.01,0,0.98,retail,3,6
2025-01-02,store_3,ee533c91-39c8-415b-82fb-aa927b828d9b,0,prod_7,OTC,Sun Pharma,7,32.91,0,0,2025-06-11,26,27,38,50,7,0,0,0,22.27,0,0.92,wholesale,3,1
2025-01-19,store_4,013d2a82-d889-422b-8a1e-ad50570aa64f,0,prod_3,OTC,Novartis,7,86.07,0,0,2025-11-29,18,29,46,40,9,0,1,0,22.26,0,1.18,wholesale,6,1
2025-11-18,store_3,686f768a-1374-4188-aa21-0f3fce88049b,0,prod_18,Supplement,Pfizer,6,34.79,10,1,2026-06-19,19,22,36,62,3,0,0,0,27.7,0,1.13,wholesale,1,11
2025-03-18,store_4,4b122a47-f37f-480a-87d2-f9edad09234a,1,prod_17,OTC,Pfizer,5,13.69,10,1,2025-10-12,13,13,32,90,3,0,0,0,20.1,0,0.99,retail,1,3
2025-10-30,store_4,def8cc65-ff33-49fc-8340-f0f6e7f93028,1,prod_17,Prescription,Pfizer,6,59.87,0,0,2026-06-08,10,27,33,39,9,0,0,0,27.62,0,0.84,retail,3,10
2025-03-28,store_2,877097ae-e9cf-4565-8edd-147cf3c8c20a,0,prod_19,Prescription,Sun Pharma,6,52.1,50,1,2025-11-06,8,29,41,42,9,0,0,0,32.57,0,1.18,retail,4,3
2025-09-28,store_2,fa083478-d779-42a9-b724-974223dd9af9,0,prod_19,Prescription,Novartis,5,11.78,0,0,2026-03-07,18,27,40,71,2,0,1,0,22.26,0,0.8,retail,6,9
2025-01-03,store_1,c53e9fb3-7a4d-41ae-845a-9c1f317fcc09,1,prod_6,Prescription,Sun Pharma,9,5.63,20,1,2025-06-13,13,21,37,63,2,0,0,0,29.0,0,0.96,wholesale,4,1
2025-07-21,store_1,97dc10e0-ac61-49ac-9aff-39df41e9b458,0,prod_3,Supplement,Sun Pharma,5,13.47,10,1,2026-07-19,2,19,34,56,5,1,0,0,20.64,0,1.13,retail,0,7
2025-09-28,store_4,50d99916-e588-4a64-af0f-eb2c0fae0693,1,prod_16,OTC,Novartis,7,72.7,10,1,2025-11-22,26,17,35,44,12,0,1,0,17.28,0,1.13,wholesale,6,9
2025-05-13,store_1,393fabd9-f67c-4b39-bcb0-41cb349ac1e9,0,prod_20,Supplement,Novartis,9,65.43,10,1,2025-11-05,28,17,30,40,10,0,0,0,30.56,0,1.15,retail,1,5
2025-01-23,store_5,86e1004d-2a8e-40c0-a1b0-2207f7e77024,1,prod_18,Supplement,Pfizer,3,12.66,50,1,2025-07-27,1,24,41,49,8,1,0,0,23.35,0,0.85,wholesale,3,1
2025-04-21,store_5,8b6f4432-84ff-45bd-ae00-866fe96b6be2,0,prod_9,OTC,Pfizer,8,62.29,10,1,2025-07-02,5,26,37,37,2,1,0,0,19.87,0,0.81,retail,0,4
2025-09-15,store_1,657bcac2-7a19-467c-944c-72424e63b372,1,prod_19,Prescription,Sun Pharma,3,71.5,50,1,2026-09-13,0,24,30,80,9,1,0,0,26.61,0,1.17,wholesale,0,9
2025-09-27,store_1,0dcf8a46-647e-452b-9698-606bb3d2a02f,0,prod_2,OTC,Pfizer,5,50.66,0,0,2026-09-15,15,23,37,56,2,0,1,0,22.26,0,1.18,retail,5,9
2025-06-01,store_1,4db2cc61-60d2-4824-a881-baa95e866a94,0,prod_9,Supplement,Novartis,3,98.07,30,1,2026-03-10,18,19,38,51,2,0,1,0,28.78,0,1.07,wholesale,6,6
2025-06-06,store_4,57519fe3-8ab7-48ac-9d0f-4b698ddab4ae,1,prod_8,Prescription,Novartis,4,10.84,20,1,2025-09-17,5,17,23,64,4,0,0,0,28.79,0,0.83,wholesale,4,6
2025-11-09,store_2,0bf69610-123c-4b54-9f20-ca957b086413,1,prod_3,Prescription,Sun Pharma,4,11.94,20,1,2026-09-15,6,25,30,40,4,0,1,0,23.99,0,1.17,wholesale,6,11
2025-01-16,store_4,bf67554c-2da5-465e-b4e2-09cf1bdc06d3,0,prod_20,OTC,Novartis,4,85.58,10,1,2025-12-11,16,12,19,89,3,0,0,0,14.06,0,0.95,retail,3,1
2025-07-04,store_4,c9647cd6-d952-42c6-8098-2f64fcc7ecd2,0,prod_6,Supplement,Novartis,9,50.37,10,1,2026-05-18,8,25,32,39,1,1,0,0,18.64,0,0.96,wholesale,4,7
2025-07-18,store_3,21341985-50dc-4abf-a782-6bf34d1832cf,1,prod_1,Supplement,Pfizer,4,11.87,20,1,2025-12-26,4,12,24,36,6,0,0,0,26.62,0,1.11,retail,4,7
2025-12-28,store_4,c2c679b4-e234-4bbd-bcb4-77b711efeba8,0,prod_20,Supplement,Novartis,2,79.87,30,1,2026-03-18,7,22,31,63,9,0,1,0,18.34,0,1.07,retail,6,12
2025-06-12,store_4,113884c2-02d9-4f73-9869-ff83a726a765,0,prod_4,OTC,Novartis,2,85.95,30,1,2025-09-26,14,25,44,46,2,0,0,0,28.18,0,0.84,retail,3,6
2025-04-03,store_3,a4c15a5f-7c7a-401c-a8c2-56678a2ee0da,1,prod_20,Supplement,Pfizer,6,31.59,20,1,2025-12-17,4,14,26,46,8,1,0,0,28.92,0,1.05,wholesale,3,4
2025-09-10,store_2,449dfe2a-88c5-44d0-970c-d345e8b94790,1,prod_1,Prescription,Novartis,4,26.64,10,1,2025-12-18,9,16,24,84,5,0,0,1,17.03,0,0.88,wholesale,2,9
2025-12-16,store_2,b25be5c8-7295-48ec-8aed-a6c3aca6c8c0,0,prod_11,Supplement,Pfizer,3,56.17,10,1,2026-04-30,14,22,36,76,6,0,0,0,26.56,0,1.18,retail,1,12
2025-06-20,store_1,6887e8ba-d788-402f-b346-644f22c515ac,0,prod_7,Supplement,Novartis,9,17.08,30,1,2025-09-13,25,17,26,79,10,0,0,0,16.55,0,0.87,retail,4,6
2025-11-11,store_2,fb00f5c9-ed6f-473a-9a84-f4d8d61db654,1,prod_7,Supplement,Novartis,11,42.26,50,1,2026-02-06,1,14,27,87,2,1,0,0,23.33,0,0.93,wholesale,1,11
2025-11-06,store_2,b0c259e7-e94f-4814-b574-e9efb19a19ee,0,prod_8,Supplement,Novartis,5,29.95,20,1,2025-12-18,14,27,37,82,10,0,0,0,20.96,0,0.82,wholesale,3,11
2025-11-16,store_5,2772ce85-a923-49dd-9f3b-9ac038ddd081,0,prod_3,Supplement,Sun Pharma,6,44.83,20,1,2026-11-12,1,23,40,91,11,1,1,0,19.01,0,1.16,retail,6,11
2025-06-07,store_5,0d9f5c81-9bbf-4823-9cda-31211b34140e,0,prod_13,Supplement,Novartis,2,10.3,10,1,2025-10-24,1,20,34,86,2,1,1,0,25.66,0,1.19,wholesale,5,6
2025-04-26,store_1,04bc0e66-0b69-41a6-9de8-a6db91e7e1fb,1,prod_6,Supplement,Pfizer,7,49.81,50,1,2025-12-13,1,26,33,88,3,1,1,0,20.85,0,1.07,wholesale,5,4
2025-06-27,store_2,3c34cf76-c4ff-48ff-9c76-86c8a734211e,1,prod_19,OTC,Pfizer,8,27.16,0,0,2026-04-07,5,29,37,87,6,1,0,0,19.83,0,1.12,retail,4,6
2025-05-22,store_1,18e4ca25-4c0b-4705-a0df-ef7eff4e95f3,0,prod_17,Prescription,Novartis,7,46.15,30,1,2026-02-20,25,27,43,66,10,0,0,0,27.68,0,1.15,wholesale,3,5
2025-03-19,store_1,f93a448f-50fc-4c6a-a6d2-0eac70a54740,0,prod_3,Supplement,Novartis,9,92.61,30,1,2025-09-10,21,28,44,47,10,0,0,0,18.87,0,1.17,retail,2,3
2025-05-25,store_5,7d53c526-ad2b-4389-a2b8-7c8da98a7f6d,0,prod_9,OTC,Sun Pharma,9,91.27,50,1,2025-09-25,6,14,23,80,4,1,1,0,26.97,0,1.03,retail,6,5
2025-08-21,store_3,ca5a7f1e-f3c6-4970-b11a-4e0644040c0f,1,prod_8,Prescription,Novartis,7,15.73,10,1,2026-04-01,10,24,34,81,6,0,0,0,21.39,0,1.14,retail,3,8
2025-04-05,store_4,b2569fd5-7551-4e0c-8517-240f6f23365a,1,prod_4,Supplement,Pfizer,4,85.79,30,1,2025-05-14,20,23,33,53,3,0,1,0,22.98,0,0.95,retail,5,4
2025-06-28,store_2,c349c7b3-f2ec-4c83-bb97-540cd2ff31c4,0,prod_10,Supplement,Sun Pharma,5,6.06,50,1,2025-11-22,7,14,33,64,8,0,1,0,28.11,0,1.18,wholesale,5,6
2025-04-01,store_3,965fac0d-e9f1-454c-b317-1143251bd04a,0,prod_5,Supplement,Pfizer,6,73.19,50,1,2025-08-03,3,14,20,53,2,1,0,0,27.73,0,0.85,retail,1,4
2025-05-28,store_5,b8536817-1cf1-4f9d-add3-52e840cc9584,0,prod_8,Prescription,Pfizer,3,42.47,0,0,2026-03-16,18,17,27,78,8,0,0,0,18.61,0,1.02,retail,2,5
2025-09-03,store_3,b5b948ed-6229-464a-8852-6d88472bf470,0,prod_6,Supplement,Novartis,4,8.29,20,1,2026-04-30,16,20,35,46,3,0,0,0,19.37,0,1.16,wholesale,2,9
2025-04-07,store_2,be0ab047-dd1b-4fed-be57-d5ef29cb345c,0,prod_14,Supplement,Sun Pharma,11,76.9,20,1,2025-11-17,29,28,42,94,1,0,0,0,20.68,0,0.91,wholesale,0,4
2025-12-04,store_3,e7385a9d-7cb0-4688-92c4-330855a18c72,1,prod_19,OTC,Novartis,4,63.82,30,1,2026-07-06,21,21,28,67,10,0,0,0,25.87,0,1.16,retail,3,12
2025-03-11,store_4,6b0e78db-6f38-468f-b2f3-4c4b9ad73992,0,prod_16,Prescription,Novartis,3,31.8,30,1,2025-05-06,19,26,34,91,6,0,0,0,25.36,0,0.93,retail,1,3
2025-01-03,store_5,b49bbd76-fb95-416b-99fb-4bcddc10c27e,0,prod_18,Prescription,Sun Pharma,6,9.23,10,1,2025-03-24,19,12,31,35,5,0,0,0,24.11,0,0.96,wholesale,4,1
2025-08-23,store_4,d883c1a6-79f9-4ed6-ad24-96c7c6b78983,1,prod_14,OTC,Novartis,9,51.72,50,1,2026-06-03,13,27,44,41,11,0,1,1,20.41,0,0.8,retail,5,8
2025-09-29,store_4,b9dc02d7-dd31-4d72-90af-1b4e23f0d393,1,prod_8,Prescription,Sun Pharma,5,65.98,50,1,2025-12-04,17,20,32,44,6,0,0,0,18.43,0,0.87,wholesale,0,9
2025-12-22,store_4,49a31f8a-0918-4ecb-a964-e441e439f4b2,0,prod_4,Prescription,Pfizer,7,68.5,50,1,2026-08-01,8,29,47,96,13,0,0,0,23.91,0,1.01,wholesale,0,12
2025-05-15,store_2,4dfdf6ef-5540-49c9-8a18-7bf5a1bb798a,0,prod_1,Prescription,Sun Pharma,6,57.38,50,1,2025-11-27,23,26,41,78,4,0,0,0,19.16,0,1.11,retail,3,5
2025-05-02,store_4,3bfa5203-af30-4cbf-ad77-971a5d13051b,0,prod_4,Supplement,Sun Pharma,3,10.96,10,1,2025-08-23,4,13,31,39,11,0,0,0,30.4,0,0.98,wholesale,4,5
2025-02-07,store_5,3bddf57e-b2f9-4ac3-9692-f464b9a2aa04,0,prod_10,Prescription,Novartis,5,20.74,10,1,2025-05-14,4,14,27,51,10,1,0,0,22.04,0,1.16,retail,4,2
2025-04-15,store_2,f06edc05-1a86-4300-8542-12f5c36586a8,1,prod_15,OTC,Novartis,4,55.13,50,1,2025-11-16,3,10,20,76,7,1,0,0,19.7,0,1.03,retail,1,4
2025-04-08,store_1,e8d8c4aa-9655-4d28-a3e2-e029dcfa2447,0,prod_11,OTC,Novartis,7,15.88,0,0,2025-08-03,7,26,40,93,4,0,0,0,16.31,0,0.85,wholesale,1,4
2025-06-16,store_3,6fe3272f-d0ca-4603-9844-6aef4948f9bb,1,prod_15,Prescription,Sun Pharma,2,16.69,30,1,2025-12-02,19,25,37,80,11,0,0,0,24.35,0,1.05,wholesale,0,6
2025-09-29,store_3,5efd2973-4fc2-4b56-b393-986dd12f458c,0,prod_7,Prescription,Pfizer,8,30.24,50,1,2026-03-13,19,18,36,69,10,0,0,0,14.49,0,1.14,wholesale,0,9
2025-11-17,store_2,ea367bc3-3ce2-4e6c-8d46-94dee60f0404,0,prod_10,Prescription,Pfizer,4,55.73,30,1,2026-07-12,20,17,27,82,11,0,0,0,23.76,0,1.04,wholesale,0,11
2025-12-25,store_1,782f8232-91f3-4ede-afdd-cc469b76268a,0,prod_11,Prescription,Sun Pharma,3,72.58,20,1,2026-12-15,1,24,38,75,7,1,0,0,32.98,0,1.15,wholesale,3,12
2025-09-22,store_1,84937dec-e478-411b-8508-00c80d56c1e3,0,prod_18,OTC,Sun Pharma,10,82.32,30,1,2026-04-21,19,14,20,71,5,0,0,0,25.43,0,1.08,wholesale,0,9
2025-09-22,store_2,3379adf2-bbdd-4137-8ed5-76cf0fffc95d,0,prod_2,Supplement,Novartis,4,62.4,0,0,2026-02-14,9,11,19,81,11,0,0,0,32.08,0,0.9,retail,0,9
2025-12-31,store_2,51277daa-5b9e-4dd5-87c8-2bb4abfd404c,0,prod_5,Prescription,Sun Pharma,6,24.2,20,1,2026-06-13,13,15,26,54,7,0,0,0,25.5,0,0.84,retail,2,12
2025-10-07,store_1,52cb3e42-bfea-4adf-a804-8bc9e42ae40d,0,prod_16,Supplement,Sun Pharma,4,47.39,0,0,2026-09-09,8,28,47,79,1,0,0,0,25.0,0,0.85,wholesale,1,10
2025-02-28,store_3,e85f3d98-068d-47c9-8ff3-c183cc985e77,1,prod_14,Supplement,Pfizer,9,22.33,50,1,2026-02-07,6,25,30,82,13,1,0,0,25.4,0,0.81,wholesale,4,2
2025-11-25,store_1,a839c56d-70c2-4156-a4f1-6766987ae3b7,1,prod_7,Supplement,Novartis,8,7.78,30,1,2026-08-20,1,29,39,89,13,1,0,0,27.57,0,1.1,wholesale,1,11
2025-05-30,store_4,8b24d428-d9db-4f7c-8c47-ebc92332323e,1,prod_9,Supplement,Novartis,7,37.45,50,1,2026-05-03,24,22,36,67,7,0,0,0,18.92,0,0.95,wholesale,4,5
2025-08-25,store_1,0e8653c2-60f7-4972-ba46-c7c01fa2ae72,0,prod_3,Supplement,Sun Pharma,7,11.15,20,1,2026-03-20,17,16,32,75,5,0,0,0,25.06,0,1.16,retail,0,8
2025-10-05,store_5,84d16547-3b21-49ae-a205-ee42a51d5ce5,0,prod_15,Prescription,Novartis,11,48.41,30,1,2025-12-06,29,19,25,82,5,0,1,0,30.21,0,0.98,retail,6,10
2025-04-12,store_1,e86eb8ae-b939-42e1-ad6c-8cc85ea2f3c3,1,prod_2,Supplement,Novartis,6,86.24,50,1,2025-08-16,17,10,17,94,3,0,1,0,17.62,0,1.09,wholesale,5,4
2025-08-27,store_4,9a707ccf-e97e-4ea1-a8e7-7fa5e1cc875e,0,prod_4,Prescription,Novartis,5,15.18,10,1,2025-10-03,8,16,30,35,11,0,0,0,19.09,0,1.06,wholesale,2,8
2025-07-10,store_3,0dd6cc86-c9b5-49d4-9f6a-9a79916d7ce5,0,prod_6,Prescription,Sun Pharma,10,77.28,50,1,2026-04-06,6,13,19,99,12,1,0,0,25.15,0,0.99,wholesale,3,7
2025-02-02,store_4,f75e70b1-b916-4079-99a9-d96fcb3c762f,0,prod_4,Supplement,Novartis,5,57.89,50,1,2026-01-02,18,21,34,56,1,0,1,0,20.18,0,0.94,wholesale,6,2
2025-02-11,store_2,77feb3ec-9591-4fcc-bf4f-80dbb38adca9,0,prod_6,OTC,Pfizer,5,48.91,50,1,2025-10-28,8,23,30,40,2,0,0,0,17.0,0,1.14,wholesale,1,2
2025-07-30,store_3,5e32e40c-212c-4a6a-a587-42d3ca5d25d3,0,prod_15,Supplement,Novartis,8,43.92,50,1,2025-12-21,3,22,35,87,6,1,0,1,17.04,0,1.04,wholesale,2,7
